tahun,bulan,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-laki,1
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-laki,3
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-laki,1
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-laki,5
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-laki,
2019,12,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-laki,3
2019,12,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-laki,23
2019,12,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-laki,9
2019,12,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-laki,10
2019,12,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-laki,11
2019,12,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-laki,13
2019,12,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-laki,8
2019,12,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-laki,19
2019,12,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-laki,15
2019,12,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-laki,7
2019,12,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-laki,30
2019,12,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-laki,12
2019,12,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-laki,15
2019,12,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-laki,17
2019,12,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-laki,16
2019,12,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-laki,13
2019,12,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-laki,32
2019,12,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-laki,23
2019,12,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-laki,18
2019,12,JAKARTA PUSAT,SENEN,SENEN,Laki-laki,7
2019,12,JAKARTA PUSAT,SENEN,KENARI,Laki-laki,9
2019,12,JAKARTA PUSAT,SENEN,PASEBAN,Laki-laki,26
2019,12,JAKARTA PUSAT,SENEN,KRAMAT,Laki-laki,19
2019,12,JAKARTA PUSAT,SENEN,KWITANG,Laki-laki,16
2019,12,JAKARTA PUSAT,SENEN,BUNGUR,Laki-laki,8
2019,12,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-laki,13
2019,12,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-laki,25
2019,12,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-laki,11
2019,12,JAKARTA PUSAT,MENTENG,MENTENG,Laki-laki,10
2019,12,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-laki,12
2019,12,JAKARTA PUSAT,MENTENG,CIKINI,Laki-laki,9
2019,12,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-laki,10
2019,12,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-laki,18
2019,12,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-laki,3
2019,12,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-laki,13
2019,12,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-laki,4
2019,12,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-laki,36
2019,12,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-laki,45
2019,12,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-laki,18
2019,12,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-laki,9
2019,12,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-laki,28
2019,12,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-laki,19
2019,12,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-laki,13
2019,12,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-laki,24
2019,12,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-laki,96
2019,12,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-laki,9
2019,12,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-laki,14
2019,12,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-laki,45
2019,12,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-laki,24
