tahun,bulan,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,14
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,18
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,5
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,6
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,11
2019,12,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,10
2019,12,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,5
2019,12,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,28
2019,12,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,39
2019,12,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,32
2019,12,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,22
2019,12,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,42
2019,12,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,27
2019,12,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,71
2019,12,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,46
2019,12,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,32
2019,12,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,80
2019,12,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,52
2019,12,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,70
2019,12,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,67
2019,12,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,74
2019,12,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,50
2019,12,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,77
2019,12,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,58
2019,12,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,78
2019,12,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,10
2019,12,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,16
2019,12,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,61
2019,12,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,75
2019,12,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,33
2019,12,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,48
2019,12,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,42
2019,12,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,96
2019,12,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,34
2019,12,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,61
2019,12,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,62
2019,12,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,16
2019,12,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,10
2019,12,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,36
2019,12,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,7
2019,12,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,40
2019,12,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,39
2019,12,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,86
2019,12,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,104
2019,12,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,56
2019,12,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,27
2019,12,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,82
2019,12,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,53
2019,12,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,46
2019,12,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,98
2019,12,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,214
2019,12,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,42
2019,12,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,100
2019,12,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,162
